"geneSym","meta2d_pvalue","meta2d_BH.Q","meta2d_period","meta2d_phase","meta2d_Base","meta2d_AMP","meta2d_rAMP","GSM1321185","GSM1321186","GSM1321187","GSM1321188","GSM1321189","GSM1321190","GSM1321191","GSM1321192","GSM1321193","GSM1321194","GSM1321195","GSM1321196"
"Chka",7.54951656745106e-15,2.6843061107229e-10,24,21.9716020974059,942.120833333333,734.415528595838,0.77953432575882,1760.3,1324.6,1030.2,518.4,279.9,232.3,307.8,578.4,887.9,1321.7,1384.1,1642.7
"Pnp",3.45279360658424e-14,4.11527811827739e-10,24,22.6120784783446,1154.80416666667,446.083948126691,0.38628536422267,1536.7,1464.4,1390.8,1140.8,871.8,595,724.3,808.4,1033.1,1331.5,1475.6,1603.1
"Hacl1",4.40758540776187e-14,4.11527811827739e-10,24,22.5649217552153,5673.57916666667,1806.66301394,0.318434441622756,6712.7,6516.1,5897.9,5582.9,4294.5,3815.6,3833.9,4026.7,5458.9,6586,7104.3,7693.3
"Cml3||Gm11128||Gm4477",4.6296300126869e-14,4.11527811827739e-10,24,16.7393187185675,196.545833333333,124.530712292724,0.633596297518684,162.6,116.7,88.1,80,126,115.4,168.1,262.4,369.7,344.6,273.8,183.7
"Pnp||Pnp2",7.57172102794357e-14,5.38440225739123e-10,24,22.5725196182956,2352.92916666667,863.588076365331,0.367026805821254,2937.7,2895.1,2730.8,2386.5,1758.1,1296,1615.9,1777.1,2155.5,2629.5,3163,3223.4
"Pxmp4",1.62314606200198e-13,8.74091275550524e-10,24,22.5942921076727,3342.69583333333,1097.59720929031,0.328356890371261,4001.1,3993.9,3111.5,3097.9,2400.9,2306.8,2413.3,2573.6,3059.9,3634.6,4289.2,4505.5
"Dtx4",1.72084568816899e-13,8.74091275550524e-10,24,23.085666551143,325.229166666667,162.454820006422,0.499508766914883,542.1,431.3,412.1,323.5,192.3,169.5,182.8,186.4,290.4,325.9,480.3,467.2
"Tars",2.19824158875781e-13,8.88628134039967e-10,24,22.5660824489504,1208.29166666667,414.275130972957,0.342860207019241,1697.7,1553.3,1504.8,1137.1,911.4,614.7,851.3,949.3,1197,1304.2,1469,1622.1
"Clock",2.24931184789057e-13,8.88628134039967e-10,24,22.5749293387077,1326.8375,473.88167449882,0.357151252130588,1857.2,1628.7,1476.6,1337.1,936.8,703.2,817.2,1083,1331.5,1608.8,1638.4,1702.3
"Crem",5.20694598549198e-13,1.85138171460153e-09,24,22.5818919570246,271.1375,69.0043870927188,0.254499606630285,353.7,283.2,272,267,225.1,189.2,208.4,227.4,271.1,302.8,313.6,346.7
