"geneSym","meta2d_pvalue","meta2d_BH.Q","meta2d_period","meta2d_phase","meta2d_Base","meta2d_AMP","meta2d_rAMP","ZT0","ZT04","ZT08","ZT12","ZT16","ZT20"
"Ift81",1.06242871067419e-06,0.00413520436617998,24,3.68401469190059e-05,325.691346266667,89.7368752147922,0.275527355096866,401.163979353,359.140098885,259.8913106895,246.438762409,302.4213009435,385.09262532
"Gfod1",1.11240629019349e-06,0.00413520436617998,24,20.9999631598531,1390.99313293867,729.193314490799,0.52422495641677,1947.4358195655,1159.808283558,775.4084446015,854.6180288015,1462.7641716135,2145.924049492
"Uevld",1.15785734822182e-06,0.00413520436617998,24,20.9999631598531,384.38665447075,104.07133525246,0.270746484150842,446.567426952,358.489650921,280.0792238475,316.316796066,403.28936898,501.577460058
"B230118H07Rik",1.26481295092962e-06,0.00413520436617998,24,20.9999631598531,445.703180235417,104.99853544261,0.235579506942604,501.6982742145,419.753318604,339.0305055415,378.4989142015,462.8167365765,572.4213322745
"Rngtt",1.2815039013292e-06,0.00413520436617998,24,19.9999631598531,1401.67573897367,177.432936810717,0.126586293731985,1437.8082660255,1281.3632425815,1177.7908151,1365.351846334,1537.0757429505,1610.6645208505
"Ech1",1.30796099473418e-06,0.00413520436617998,24,9.05261019263424,282.846877753,42.4226769350963,0.149984603938752,256.7509094655,294.492660621,335.262689745,302.075626577,267.9848217165,240.514558393
"Hcfc1",1.48655342779858e-06,0.00413520436617998,24,9.16297855334336,567.51131976475,59.5704421871212,0.104967848415455,531.6702305505,578.311335717,635.572636581,602.9571549895,550.3505085165,506.206052234
"6430573F11Rik",1.51156183891832e-06,0.00413520436617998,24,3.68401469190059e-05,127.946442886333,56.8613642181874,0.444415357984611,201.5782124265,135.005185755,89.183576979,77.0144651355,110.9416857375,153.9555312845
"Nid2",1.51528192238182e-06,0.00413520436617998,24,3.68401469190059e-05,720.1462946955,328.585817233334,0.456276481117313,1142.0583371655,744.430757088,484.438022008,422.9959552015,652.221127821,874.733568889
"Commd1",5.71778396019074e-06,0.0102144928418775,24,20.9999631598531,951.387975707583,137.62245040513,0.144654393285531,1048.449357039,896.3852153325,829.308205486,846.1326979455,1004.170225257,1083.8821531855
